input	0
GRMZM2G000126	Zm00001d018605
GRMZM2G000171	Zm00001d014795
GRMZM2G000520	Zm00001d051451
GRMZM2G000686	Zm00001d027874
GRMZM2G000818	Zm00001d022628
GRMZM2G000836	Zm00001d038297
GRMZM2G000842	Zm00001d038296
GRMZM2G001048	Zm00001d049094
GRMZM2G001106	Zm00001d025930
GRMZM2G001139	Zm00001d011748
GRMZM2G001205	Zm00001d035609
GRMZM2G001223	Zm00001d016952
GRMZM2G001289	Zm00001d002234
GRMZM2G001426	Zm00001d044065
GRMZM2G001663	Zm00001d028472
GRMZM2G001699	Zm00001d032741
GRMZM2G001777	Zm00001d007667	Zm00001d007670	Zm00001d007672	Zm00001d007675
GRMZM2G001824	Zm00001d024726
GRMZM2G001875	Zm00001d039496
GRMZM2G001930	Zm00001d030028
GRMZM2G002075	Zm00001d005884
GRMZM2G002119	Zm00001d043204
GRMZM2G002128	Zm00001d038270
GRMZM2G002131	Zm00001d005888
GRMZM2G002225	Zm00001d013559	Zm00001d013560
GRMZM2G002606	Zm00001d044463
GRMZM2G002627	Zm00001d017559
GRMZM2G002805	Zm00001d012968
GRMZM2G002915	Zm00001d005692
GRMZM2G002978	Zm00001d003836
GRMZM2G003234	Zm00001d004822
GRMZM2G003304	Zm00001d032316
GRMZM2G003406	Zm00001d011669
GRMZM2G003466	Zm00001d028017
GRMZM2G003489	Zm00001d033987
GRMZM2G003509	Zm00001d031060	Zm00001d031061
GRMZM2G003514	Zm00001d051465
GRMZM2G003551	Zm00001d045283
GRMZM2G003558	Zm00001d007188
GRMZM2G003715	Zm00001d024543
GRMZM2G003927	Zm00001d020430
GRMZM2G003944	Zm00001d053020
GRMZM2G004060	Zm00001d023615	Zm00001d023616
GRMZM2G004090	Zm00001d046519
GRMZM2G004334	Zm00001d037140
GRMZM2G004356	Zm00001d013073
GRMZM2G004531	Zm00001d020972
GRMZM2G004619	Zm00001d006348
GRMZM2G004641	Zm00001d027802
GRMZM2G004663	Zm00001d041160
GRMZM2G004732	Zm00001d024220
GRMZM2G004957	Zm00001d024701
GRMZM2G005066	Zm00001d044975
GRMZM2G005112	Zm00001d042849
GRMZM2G005126	Zm00001d024703
GRMZM2G005155	Zm00001d002332
GRMZM2G005207	Zm00001d023332
GRMZM2G005284	Zm00001d025871
GRMZM2G005301	Zm00001d016260
GRMZM2G005353	Zm00001d025944
GRMZM2G005624	Zm00001d028129
GRMZM2G005815	Zm00001d044259
GRMZM2G006042	Zm00001d023659
GRMZM2G006282	Zm00001d014917
GRMZM2G006352	Zm00001d011614
GRMZM2G006477	Zm00001d029020
GRMZM2G006493	Zm00001d023636
GRMZM2G006497	Zm00001d008578
GRMZM2G006578	Zm00001d020938
GRMZM2G006631	Zm00001d027987
GRMZM2G006745	Zm00001d010048
GRMZM2G006752	Zm00001d020939
GRMZM2G006871	Zm00001d024905
GRMZM2G007063	Zm00001d013074
GRMZM2G007406	Zm00001d047860
GRMZM2G008029	Zm00001d034084
GRMZM2G008166	Zm00001d037170
GRMZM2G008234	Zm00001d018731
GRMZM2G008286	Zm00001d009802
GRMZM2G008356	Zm00001d021790
GRMZM2G008374	Zm00001d006053
GRMZM2G008558	Zm00001d037158
GRMZM2G008647	Zm00001d015747	Zm00001d015748
GRMZM2G008691	Zm00001d052192
GRMZM2G008898	Zm00001d007768
GRMZM2G009060	Zm00001d028984
GRMZM2G009406	Zm00001d005970
GRMZM2G009478	Zm00001d005969
GRMZM2G009598	Zm00001d034605
GRMZM2G009837	Zm00001d013232
GRMZM2G009892	Zm00001d003414
GRMZM2G010100	Zm00001d033353
GRMZM2G010290	Zm00001d026096
GRMZM2G010323	Zm00001d025450
GRMZM2G010669	Zm00001d023955
GRMZM2G010871	Zm00001d032923
GRMZM2G010920	Zm00001d015226
GRMZM2G010929	Zm00001d008612
GRMZM2G011110	Zm00001d052152
GRMZM2G011236	Zm00001d006653
GRMZM2G011357	Zm00001d032922
GRMZM2G011385	Zm00001d034384
GRMZM2G011422	Zm00001d050185
GRMZM2G011588	Zm00001d033378
GRMZM2G011598	Zm00001d028999
GRMZM2G011789	Zm00001d017898
GRMZM2G011832	Zm00001d033093
GRMZM2G011932	Zm00001d039065
GRMZM2G011947	Zm00001d035873
GRMZM2G012262	Zm00001d053855
GRMZM2G012654	Zm00001d019865
GRMZM2G012717	Zm00001d037327
GRMZM2G012724	Zm00001d038023
GRMZM2G013016	Zm00001d042472
GRMZM2G013391	Zm00001d012746
GRMZM2G013398	Zm00001d045804
GRMZM2G013581	Zm00001d035604
GRMZM2G013612	Zm00001d004102
GRMZM2G013617	Zm00001d035907
GRMZM2G013657	Zm00001d038087
GRMZM2G013688	Zm00001d021164
GRMZM2G014534	Zm00001d002482
GRMZM2G014653	Zm00001d042609
GRMZM2G014902	Zm00001d049543
GRMZM2G015021	Zm00001d052069
GRMZM2G015037	Zm00001d008919
GRMZM2G015080	Zm00001d005029
GRMZM2G015097	Zm00001d031008
GRMZM2G015281	Zm00001d028524
GRMZM2G015433	Zm00001d010805
GRMZM2G015534	Zm00001d018971
GRMZM2G015666	Zm00001d005939
GRMZM2G016079	Zm00001d031498
GRMZM2G016150	Zm00001d034455	Zm00001d034457
GRMZM2G016370	Zm00001d023411
GRMZM2G016434	Zm00001d016616
GRMZM2G016637	Zm00001d035457
GRMZM2G016649	Zm00001d002801	Zm00001d022639
GRMZM2G016756	Zm00001d013130
GRMZM2G017087	Zm00001d033859
GRMZM2G017145	Zm00001d022223	Zm00001d022224	Zm00001d022225
GRMZM2G017187	Zm00001d003601
GRMZM2G017268	Zm00001d052804
GRMZM2G017319	Zm00001d033347
GRMZM2G017349	Zm00001d045212
GRMZM2G017470	Zm00001d034651
GRMZM2G017520	Zm00001d040527
GRMZM2G017606	Zm00001d053208
GRMZM2G017923	Zm00001d018360
GRMZM2G018138	Zm00001d021214
GRMZM2G018254	Zm00001d048588
GRMZM2G018398	Zm00001d052087
GRMZM2G018414	Zm00001d033396
GRMZM2G018436	Zm00001d005028
GRMZM2G018472	Zm00001d030971
GRMZM2G018485	Zm00001d026005
GRMZM2G018487	Zm00001d033965
GRMZM2G018589	Zm00001d042591
GRMZM2G018721	Zm00001d018656
GRMZM2G018876	Zm00001d003195
GRMZM2G018984	Zm00001d027925
GRMZM2G019060	Zm00001d006721
GRMZM2G019106	Zm00001d053967
GRMZM2G019335	Zm00001d051018
GRMZM2G019443	Zm00001d019116
GRMZM2G019446	Zm00001d034447	Zm00001d034448
GRMZM2G019806	Zm00001d033848
GRMZM2G019907	Zm00001d043153
GRMZM2G019956	Zm00001d013723
GRMZM2G020016	Zm00001d038584
GRMZM2G020054	Zm00001d024324
GRMZM2G020150	Zm00001d038585
GRMZM2G020254	Zm00001d024323
GRMZM2G020772	Zm00001d039893
GRMZM2G020799	Zm00001d017911
GRMZM2G020805	Zm00001d007868
GRMZM2G021095	Zm00001d028721
GRMZM2G021276	Zm00001d008174
GRMZM2G021339	Zm00001d051749
GRMZM2G021369	Zm00001d018191
GRMZM2G021475	Zm00001d002106
GRMZM2G021573	Zm00001d048004
GRMZM2G021587	Zm00001d006319
GRMZM2G021777	Zm00001d017176
GRMZM2G021790	Zm00001d009573
GRMZM2G021831	Zm00001d003549
GRMZM2G021834	Zm00001d003616
GRMZM2G022162	Zm00001d005993
GRMZM2G022213	Zm00001d006682
GRMZM2G022359	Zm00001d024468
GRMZM2G022499	Zm00001d031454
GRMZM2G022686	Zm00001d047671
GRMZM2G023119	Zm00001d030350
GRMZM2G023291	Zm00001d033246
GRMZM2G023557	Zm00001d034891
GRMZM2G023667	Zm00001d011691	Zm00001d011692
GRMZM2G023708	Zm00001d025298
GRMZM2G023813	Zm00001d026687
GRMZM2G023872	Zm00001d009646
GRMZM2G023988	Zm00001d016911
GRMZM2G024054	Zm00001d013827
GRMZM2G024468	Zm00001d032178
GRMZM2G024530	Zm00001d045046
GRMZM2G024655	Zm00001d008356
GRMZM2G024851	Zm00001d041831
GRMZM2G024871	Zm00001d014113
GRMZM2G024898	Zm00001d002452
GRMZM2G024948	Zm00001d017618
GRMZM2G024973	Zm00001d013465
GRMZM2G025002	Zm00001d005005
GRMZM2G025062	Zm00001d022461
GRMZM2G025642	Zm00001d027459
GRMZM2G025685	Zm00001d022295
GRMZM2G025758	Zm00001d043311
GRMZM2G025812	Zm00001d046718
GRMZM2G025895	Zm00001d020137
GRMZM2G025989	Zm00001d052317
GRMZM2G026157	Zm00001d013501
GRMZM2G026223	Zm00001d027425
GRMZM2G026417	Zm00001d029287
GRMZM2G026643	Zm00001d040090
GRMZM2G026742	Zm00001d048041
GRMZM2G026833	Zm00001d044785
GRMZM2G026926	Zm00001d002867
GRMZM2G027068	Zm00001d034596
GRMZM2G027253	Zm00001d035903
GRMZM2G027298	Zm00001d023927
GRMZM2G027333	Zm00001d011223
GRMZM2G027563	Zm00001d020490
GRMZM2G027697	Zm00001d017243
GRMZM2G027914	Zm00001d042756
GRMZM2G027960	Zm00001d010131
GRMZM2G027972	Zm00001d052847
GRMZM2G027976	Zm00001d043420
GRMZM2G028039	Zm00001d048199
GRMZM2G028041	Zm00001d018742
GRMZM2G028046	Zm00001d053006
GRMZM2G028054	Zm00001d012544
GRMZM2G028151	Zm00001d034204
GRMZM2G028386	Zm00001d031861
GRMZM2G028438	Zm00001d051461
GRMZM2G028492	Zm00001d026536
GRMZM2G028594	Zm00001d045323
GRMZM2G028608	Zm00001d003553
GRMZM2G028622	Zm00001d026537
GRMZM2G028766	Zm00001d050551	Zm00001d050552
GRMZM2G028794	Zm00001d048244
GRMZM2G028969	Zm00001d002747
GRMZM2G028980	Zm00001d053819
GRMZM2G029282	Zm00001d012507
GRMZM2G029292	Zm00001d012508	Zm00001d012509
GRMZM2G029323	Zm00001d052229
GRMZM2G029850	Zm00001d017642
GRMZM2G029979	Zm00001d015845	Zm00001d015846
GRMZM2G030272	Zm00001d028962
GRMZM2G030280	Zm00001d008225
GRMZM2G030325	Zm00001d035076
GRMZM2G030403	Zm00001d024814
GRMZM2G030458	Zm00001d047421
GRMZM2G030710	Zm00001d039006
GRMZM2G030744	Zm00001d018416
GRMZM2G030762	Zm00001d012067
GRMZM2G030877	Zm00001d052542	Zm00001d052543
GRMZM2G031001	Zm00001d028995
GRMZM2G031200	Zm00001d039004
GRMZM2G031323	Zm00001d021761
GRMZM2G031398	Zm00001d003176
GRMZM2G031493	Zm00001d042271
GRMZM2G031870	Zm00001d034181
GRMZM2G031882	Zm00001d043937
GRMZM2G031963	Zm00001d025669
GRMZM2G031983	Zm00001d016361
GRMZM2G032180	Zm00001d005055
GRMZM2G032258	Zm00001d042965
GRMZM2G032336	Zm00001d021516
GRMZM2G032339	Zm00001d034045	Zm00001d034046
GRMZM2G032655	Zm00001d003412
GRMZM2G032905	Zm00001d003408	Zm00001d003409
GRMZM2G033014	Zm00001d018702
GRMZM2G033138	Zm00001d015265
GRMZM2G033230	Zm00001d010667
GRMZM2G033356	Zm00001d049294
GRMZM2G033413	Zm00001d044940
GRMZM2G033570	Zm00001d028974
GRMZM2G033656	Zm00001d031501
GRMZM2G034110	Zm00001d000184
GRMZM2G034113	Zm00001d006195
GRMZM2G034421	Zm00001d010616
GRMZM2G034563	Zm00001d030911
GRMZM2G034638	Zm00001d011985
GRMZM2G034840	Zm00001d001945
GRMZM2G034868	Zm00001d041923
GRMZM2G034876	Zm00001d017742
GRMZM2G035092	Zm00001d042550
GRMZM2G035103	Zm00001d013208
GRMZM2G035156	Zm00001d027855
GRMZM2G035370	Zm00001d001936
GRMZM2G035405	Zm00001d014377
GRMZM2G035625	Zm00001d042202
GRMZM2G035701	Zm00001d011712
GRMZM2G035944	Zm00001d010730
GRMZM2G036092	Zm00001d018056
GRMZM2G036297	Zm00001d002005
GRMZM2G036554	Zm00001d024781
GRMZM2G036703	Zm00001d012482
GRMZM2G036837	Zm00001d008322
GRMZM2G036966	Zm00001d035234
GRMZM2G037128	Zm00001d054080
GRMZM2G037200	Zm00001d017595
GRMZM2G037286	Zm00001d038518
GRMZM2G037493	Zm00001d031391
GRMZM2G037574	Zm00001d005788
GRMZM2G037630	Zm00001d029488	Zm00001d029489
GRMZM2G037650	Zm00001d032032
GRMZM2G037792	Zm00001d026158
GRMZM2G037823	Zm00001d016755
GRMZM2G037910	Zm00001d006157
GRMZM2G038015	Zm00001d028879
GRMZM2G038073	Zm00001d017084
GRMZM2G038158	Zm00001d053369
GRMZM2G038303	Zm00001d022108	Zm00001d022109
GRMZM2G038479	Zm00001d052728
GRMZM2G038722	Zm00001d002476
GRMZM2G038783	Zm00001d046925
GRMZM2G038878	Zm00001d037126
GRMZM2G039074	Zm00001d033310
GRMZM2G039112	Zm00001d030862
GRMZM2G039586	Zm00001d046354
GRMZM2G039828	Zm00001d039658
GRMZM2G039870	Zm00001d030513
GRMZM2G039889	Zm00001d011355
GRMZM2G040298	Zm00001d043569
GRMZM2G040349	Zm00001d006835
GRMZM2G040481	Zm00001d016924
GRMZM2G040664	Zm00001d025910
GRMZM2G040924	Zm00001d017385
GRMZM2G041127	Zm00001d005951
GRMZM2G041223	Zm00001d002429
GRMZM2G041415	Zm00001d041853
GRMZM2G041462	Zm00001d021268
GRMZM2G041668	Zm00001d045600
GRMZM2G041701	Zm00001d050664
GRMZM2G041746	Zm00001d037029
GRMZM2G041799	Zm00001d051838
GRMZM2G041818	Zm00001d033706
GRMZM2G041839	Zm00001d017478
GRMZM2G041991	Zm00001d017939
GRMZM2G042101	Zm00001d052254
GRMZM2G042198	Zm00001d051684
GRMZM2G042218	Zm00001d012280
GRMZM2G042250	Zm00001d027317
GRMZM2G042278	Zm00001d015201
GRMZM2G042407	Zm00001d032040
GRMZM2G042666	Zm00001d021403
GRMZM2G042756	Zm00001d002618
GRMZM2G042893	Zm00001d004095
GRMZM2G042895	Zm00001d024522
GRMZM2G042920	Zm00001d026317
GRMZM2G043250	Zm00001d016771	Zm00001d016772
GRMZM2G043600	Zm00001d021191
GRMZM2G043792	Zm00001d051117
GRMZM2G043813	Zm00001d025861
GRMZM2G043854	Zm00001d047878
GRMZM2G044077	Zm00001d008968
GRMZM2G044150	Zm00001d038013
GRMZM2G044322	Zm00001d003451
GRMZM2G044408	Zm00001d017932
GRMZM2G044576	Zm00001d012757
GRMZM2G044752	Zm00001d002754
GRMZM2G044824	Zm00001d045560
GRMZM2G044902	Zm00001d029601	Zm00001d029602
GRMZM2G045109	Zm00001d046096
GRMZM2G045236	Zm00001d038189
GRMZM2G045431	Zm00001d020705
GRMZM2G045678	Zm00001d033325
GRMZM2G045748	Zm00001d020457
GRMZM2G045883	Zm00001d018119
GRMZM2G045977	Zm00001d017602
GRMZM2G046438	Zm00001d014117
GRMZM2G046443	Zm00001d031515
GRMZM2G046829	Zm00001d021863
GRMZM2G046885	Zm00001d018142
GRMZM2G046968	Zm00001d001952
GRMZM2G047370	Zm00001d025720
GRMZM2G047448	Zm00001d001948
GRMZM2G047600	Zm00001d009066
GRMZM2G047626	Zm00001d041576
GRMZM2G047715	Zm00001d050834
GRMZM2G047918	Zm00001d016262
GRMZM2G047999	Zm00001d016623
GRMZM2G048136	Zm00001d048623
GRMZM2G048154	Zm00001d028667
GRMZM2G048295	Zm00001d003064
GRMZM2G048403	Zm00001d032105	Zm00001d032106	Zm00001d032107
GRMZM2G048450	Zm00001d016052
GRMZM2G048582	Zm00001d006293
GRMZM2G048621	Zm00001d051350
GRMZM2G048826	Zm00001d050039
GRMZM2G048850	Zm00001d023540
GRMZM2G048910	Zm00001d037334
GRMZM2G048987	Zm00001d021617
GRMZM2G049027	Zm00001d036594	Zm00001d036595
GRMZM2G049159	Zm00001d028603
GRMZM2G049194	Zm00001d018258
GRMZM2G049229	Zm00001d047017
GRMZM2G049378	Zm00001d011515
GRMZM2G049695	Zm00001d008808
GRMZM2G050305	Zm00001d006236
GRMZM2G050550	Zm00001d019712
GRMZM2G050590	Zm00001d004512
GRMZM2G050851	Zm00001d032095
GRMZM2G050912	Zm00001d046564
GRMZM2G050939	Zm00001d035514
GRMZM2G051256	Zm00001d040621
GRMZM2G051528	Zm00001d009088	Zm00001d009089	Zm00001d009090	Zm00001d009091
GRMZM2G051785	Zm00001d045589
GRMZM2G051793	Zm00001d018776
GRMZM2G051955	Zm00001d005757
GRMZM2G052045	Zm00001d032218
GRMZM2G052102	Zm00001d053442
GRMZM2G052239	Zm00001d034984
GRMZM2G052377	Zm00001d039700
GRMZM2G052499	Zm00001d023466
GRMZM2G052515	Zm00001d023465
GRMZM2G052544	Zm00001d015407
GRMZM2G052606	Zm00001d023931	Zm00001d023932
GRMZM2G052616	Zm00001d040775
GRMZM2G052667	Zm00001d020595
GRMZM2G052671	Zm00001d006001
GRMZM2G052720	Zm00001d053859
GRMZM2G052890	Zm00001d037737
GRMZM2G053298	Zm00001d021442
GRMZM2G053503	Zm00001d009103
GRMZM2G054111	Zm00001d027623
GRMZM2G054125	Zm00001d049173
GRMZM2G054252	Zm00001d031655
GRMZM2G054277	Zm00001d021069
GRMZM2G054564	Zm00001d023882
GRMZM2G054615	Zm00001d025953
GRMZM2G054795	Zm00001d002829
GRMZM2G055024	Zm00001d048674
GRMZM2G055070	Zm00001d024436
GRMZM2G055135	Zm00001d049525
GRMZM2G055158	Zm00001d051788
GRMZM2G055180	Zm00001d002762
GRMZM2G055204	Zm00001d018081
GRMZM2G055243	Zm00001d046568
GRMZM2G055263	Zm00001d028526
GRMZM2G055413	Zm00001d036400
GRMZM2G055782	Zm00001d050897
GRMZM2G056099	Zm00001d047587
GRMZM2G056120	Zm00001d043431
GRMZM2G056400	Zm00001d032249
GRMZM2G056407	Zm00001d022227
GRMZM2G056600	Zm00001d020804
GRMZM2G056920	Zm00001d053682
GRMZM2G056929	Zm00001d003822
GRMZM2G056986	Zm00001d012337
GRMZM2G057011	Zm00001d005749
GRMZM2G057027	Zm00001d028842
GRMZM2G057116	Zm00001d009939
GRMZM2G057131	Zm00001d002661
GRMZM2G057260	Zm00001d021986	Zm00001d021987	Zm00001d021988
GRMZM2G057386	Zm00001d017466
GRMZM2G057408	Zm00001d036632
GRMZM2G057413	Zm00001d042062
GRMZM2G057955	Zm00001d044194
GRMZM2G058197	Zm00001d021932
GRMZM2G058451	Zm00001d021701
GRMZM2G058479	Zm00001d014656
GRMZM2G058518	Zm00001d043921
GRMZM2G058588	Zm00001d026491
GRMZM2G058868	Zm00001d048590
GRMZM2G059102	Zm00001d027955	Zm00001d027957
GRMZM2G059167	Zm00001d050726	Zm00001d050728
GRMZM2G059428	Zm00001d027530
GRMZM2G059562	Zm00001d043060
GRMZM2G059678	Zm00001d043378
GRMZM2G059851	Zm00001d016674
GRMZM2G059939	Zm00001d038907
GRMZM2G060000	Zm00001d037274
GRMZM2G060057	Zm00001d035195
GRMZM2G060109	Zm00001d007042
GRMZM2G060116	Zm00001d042246
GRMZM2G060170	Zm00001d038660
GRMZM2G060206	Zm00001d049903
GRMZM2G060216	Zm00001d042777
GRMZM2G060265	Zm00001d027292
GRMZM2G060290	Zm00001d046751
GRMZM2G060319	Zm00001d050389
GRMZM2G060444	Zm00001d004234
GRMZM2G060465	Zm00001d052365
GRMZM2G060485	Zm00001d015521
GRMZM2G060507	Zm00001d048471
GRMZM2G060517	Zm00001d019744
GRMZM2G060541	Zm00001d011560
GRMZM2G060544	Zm00001d029506
GRMZM2G060834	Zm00001d017702
GRMZM2G060918	Zm00001d047574
GRMZM2G061101	Zm00001d033404
GRMZM2G061292	Zm00001d013724
GRMZM2G061487	Zm00001d032295
GRMZM2G061545	Zm00001d036812
GRMZM2G061734	Zm00001d006091
GRMZM2G061897	Zm00001d034639
GRMZM2G061906	Zm00001d038357
GRMZM2G062009	Zm00001d051140
GRMZM2G062244	Zm00001d006687
GRMZM2G062391	Zm00001d029064
GRMZM2G062541	Zm00001d024783
GRMZM2G062650	Zm00001d040189
GRMZM2G062651	Zm00001d022145	Zm00001d022146
GRMZM2G063203	Zm00001d051316
GRMZM2G063216	Zm00001d052357
GRMZM2G063387	Zm00001d048412
GRMZM2G063522	Zm00001d014405
GRMZM2G063880	Zm00001d009619
GRMZM2G064197	Zm00001d020019
GRMZM2G064426	Zm00001d010574
GRMZM2G064466	Zm00001d029736
GRMZM2G064541	Zm00001d040318
GRMZM2G064628	Zm00001d020433
GRMZM2G064630	Zm00001d006922
GRMZM2G064638	Zm00001d016095
GRMZM2G064655	Zm00001d006463
GRMZM2G064744	Zm00001d044538
GRMZM2G065290	Zm00001d043063
GRMZM2G065374	Zm00001d034298
GRMZM2G065451	Zm00001d053890
GRMZM2G065478	Zm00001d030908	Zm00001d030909
GRMZM2G065496	Zm00001d030907
GRMZM2G065538	Zm00001d011639
GRMZM2G065829	Zm00001d011297
GRMZM2G065896	Zm00001d013331
GRMZM2G066057	Zm00001d008444
GRMZM2G066158	Zm00001d010676
GRMZM2G066373	Zm00001d044953
GRMZM2G066734	Zm00001d047644
GRMZM2G067171	Zm00001d041883
GRMZM2G067463	Zm00001d002011
GRMZM2G067624	Zm00001d021573
GRMZM2G067654	Zm00001d045107
GRMZM2G067702	Zm00001d011785
GRMZM2G067921	Zm00001d022613
GRMZM2G068330	Zm00001d049000
GRMZM2G068476	Zm00001d033553
GRMZM2G068604	Zm00001d031167
GRMZM2G068672	Zm00001d036118
GRMZM2G068710	Zm00001d023557	Zm00001d023558
GRMZM2G068967	Zm00001d002364
GRMZM2G068973	Zm00001d012527
GRMZM2G069009	Zm00001d040301
GRMZM2G069028	Zm00001d004889
GRMZM2G069047	Zm00001d049678
GRMZM2G069082	Zm00001d021205
GRMZM2G069126	Zm00001d021207
GRMZM2G069146	Zm00001d021208
GRMZM2G069176	Zm00001d029587
GRMZM2G069274	Zm00001d043076
GRMZM2G069325	Zm00001d038930
GRMZM2G069365	Zm00001d051573
GRMZM2G069370	Zm00001d025479
GRMZM2G069408	Zm00001d041926
GRMZM2G069486	Zm00001d053975
GRMZM2G069525	Zm00001d002649
GRMZM2G070034	Zm00001d047355	Zm00001d047356
GRMZM2G070211	Zm00001d033291
GRMZM2G070371	Zm00001d007713
GRMZM2G070446	Zm00001d036214
GRMZM2G070523	Zm00001d013801
GRMZM2G070849	Zm00001d028930
GRMZM2G070865	Zm00001d051527
GRMZM2G071034	Zm00001d001933
GRMZM2G071101	Zm00001d052883
GRMZM2G071112	Zm00001d020459
GRMZM2G071322	Zm00001d044519
GRMZM2G071468	Zm00001d017507
GRMZM2G071620	Zm00001d013258
GRMZM2G071648	Zm00001d036830
GRMZM2G071907	Zm00001d002405
GRMZM2G071977	Zm00001d044409
GRMZM2G072376	Zm00001d028504
GRMZM2G072582	Zm00001d018667
GRMZM2G072820	Zm00001d002121
GRMZM2G072926	Zm00001d051355
GRMZM2G073044	Zm00001d010751
GRMZM2G073047	Zm00001d046292
GRMZM2G073272	Zm00001d016457
GRMZM2G073357	Zm00001d038015
GRMZM2G073427	Zm00001d030995
GRMZM2G073750	Zm00001d041497
GRMZM2G073779	Zm00001d048603
GRMZM2G073805	Zm00001d048602
GRMZM2G073823	Zm00001d048601
GRMZM2G073826	Zm00001d016000
